Metodo,Iteracao,Erro_Final
Jacobi,1,37.5000000000
Jacobi,2,18.7500000000
Jacobi,3,12.5000000000
Jacobi,4,7.0312500000
Jacobi,5,6.2500000000
Jacobi,6,3.2226562500
Jacobi,7,3.1250000000
Jacobi,8,1.5747070313
Jacobi,9,1.5625000000
Jacobi,10,0.7827758789
Jacobi,11,0.7812500000
Jacobi,12,0.3908157349
Jacobi,13,0.3906250000
Jacobi,14,0.1953363419
Jacobi,15,0.1953125000
Jacobi,16,0.0976592302
Jacobi,17,0.0976562500
Jacobi,18,0.0488284975
Jacobi,19,0.0488281250
Jacobi,20,0.0244141091
Jacobi,21,0.0244140625
Jacobi,22,0.0122070371
Jacobi,23,0.0122070313
Jacobi,24,0.0061035164
Jacobi,25,0.0061035156
Jacobi,26,0.0030517579
Jacobi,27,0.0030517578
Jacobi,28,0.0015258789
Jacobi,29,0.0015258789
Jacobi,30,0.0007629395
Jacobi,31,0.0007629395
Jacobi,32,0.0003814697
Jacobi,33,0.0003814697
Jacobi,34,0.0001907349
Jacobi,35,0.0001907349
Jacobi,36,0.0000953674
Jacobi,37,0.0000953674
Jacobi,38,0.0000476837
Jacobi,39,0.0000476837
Jacobi,40,0.0000238419
Jacobi,41,0.0000238419
Jacobi,42,0.0000119209
Jacobi,43,0.0000119209
Jacobi,44,0.0000059605
Jacobi,45,0.0000059605
Jacobi,46,0.0000029802
Jacobi,47,0.0000029802
Jacobi,48,0.0000014901
Jacobi,49,0.0000014901
Jacobi,50,0.0000007451
Jacobi,51,0.0000007451
Jacobi,52,0.0000003725
Jacobi,53,0.0000003725
Jacobi,54,0.0000001863
Jacobi,55,0.0000001863
Jacobi,56,0.0000000931
Jacobi,57,0.0000000931
Jacobi,58,0.0000000466
Jacobi,59,0.0000000466
Jacobi,60,0.0000000233
Jacobi,61,0.0000000233
Jacobi,62,0.0000000116
Jacobi,63,0.0000000116
Jacobi,64,0.0000000058
Gauss-Seidel,1,50.8789062500
Gauss-Seidel,2,20.2880859375
Gauss-Seidel,3,13.6718750000
Gauss-Seidel,4,6.8359375000
Gauss-Seidel,5,3.4179687500
Gauss-Seidel,6,1.7089843750
Gauss-Seidel,7,0.8544921875
Gauss-Seidel,8,0.4272460938
Gauss-Seidel,9,0.2136230469
Gauss-Seidel,10,0.1068115234
Gauss-Seidel,11,0.0534057617
Gauss-Seidel,12,0.0267028809
Gauss-Seidel,13,0.0133514404
Gauss-Seidel,14,0.0066757202
Gauss-Seidel,15,0.0033378601
Gauss-Seidel,16,0.0016689301
Gauss-Seidel,17,0.0008344650
Gauss-Seidel,18,0.0004172325
Gauss-Seidel,19,0.0002086163
Gauss-Seidel,20,0.0001043081
Gauss-Seidel,21,0.0000521541
Gauss-Seidel,22,0.0000260770
Gauss-Seidel,23,0.0000130385
Gauss-Seidel,24,0.0000065193
